species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__UBA7542_sp003134375--GB_GCA_003134375.1,N_genes,1,1,3,2,0.667,1.0
s__Lacrimispora_sp002478865--GB_GCA_002478865.1,N_genes,0,2,2,5,0.0,1.0
s__Bradyrhizobium_altum--RS_GCF_020889705.1,N_genes,0,2,2,1,0.0,0.4000000000000001
s__Heliomicrobium_gestii--RS_GCF_009877435.1,N_genes,2,0,4,0,,1.0
s__Anaeromyxobacter_sp022808855--RS_GCF_022808855.1,N_genes,2,0,3,0,,1.0
s__Desulfocurvibacter_africanus--RS_GCF_000422545.1,N_genes,2,0,2,0,,1.0
s__Bradyrhizobium_nanningense--RS_GCF_004114535.1,N_genes,2,0,4,0,,1.0
s__Phytobacter_ursingii--GB_GCA_901456055.1,N_genes,2,0,2,0,,1.0
s__Clostridium_B_ljungdahlii--RS_GCF_000143685.1,N_genes,5,0,3,1,inf,0.4444444444444444
s__Terracidiphilus_sp003159355--GB_GCA_003159355.1,N_genes,0,2,2,4,0.0,1.0
s__Herbaspirillum_rubrisubalbicans--RS_GCF_003719195.1,N_genes,2,0,4,3,inf,0.5
s__JAKAEG01_sp021840255--GB_GCA_021840255.1,N_genes,2,0,3,1,inf,1.0
s__Bradyrhizobium_manausense_C--RS_GCF_024758505.1,N_genes,0,2,3,0,0.0,0.10000000000000002
s__Desulfosporosinus_sp003513495--GB_GCA_003513495.1,N_genes,2,0,2,2,inf,0.4666666666666667
s__Rhodobacter_capsulatus_B--RS_GCF_000021865.1,N_genes,5,0,2,1,inf,0.375
s__Mesorhizobium_sp000513935--RS_GCF_000513935.1,N_genes,0,2,2,3,0.0,1.0
s__Bradyrhizobium_sp024199795--RS_GCF_024199795.1,N_genes,2,0,3,0,,1.0
s__Fen-1137_sp003142855--GB_GCA_003142855.1,N_genes,1,1,1,1,1.0,1.0
s__JAANAU01_sp015231775--GB_GCA_015231775.1,N_genes,0,2,4,2,0.0,0.4285714285714286
s__Acidulodesulfobacterium_A_sp021822485--GB_GCA_021822485.1,N_genes,1,1,0,2,inf,1.0
s__Azospirillum_baldaniorum--RS_GCF_003119195.2,N_genes,2,0,3,4,inf,0.4444444444444444
s__Paenibacillus_polymyxa_D--RS_GCF_022531965.1,N_genes,2,0,3,0,,1.0
s__Bradyrhizobium_quebecense--RS_GCF_013373795.3,N_genes,2,0,1,1,inf,1.0
s__SKZT01_sp007127235--GB_GCA_007127235.1,N_genes,1,1,2,6,3.0,1.0
s__JACKOQ01_sp024234215--GB_GCA_024234215.1,N_genes,2,0,6,2,inf,1.0
s__Methylobacter_marinus--RS_GCF_000383855.1,N_genes,2,0,3,2,inf,1.0
s__Bacteroides_I_sp002307035--GB_GCA_002307035.1,N_genes,4,0,2,2,inf,0.42857142857142855
s__Sideroxyarcus_sp021783525--GB_GCA_021783525.1,N_genes,0,4,2,1,0.0,0.14285714285714288
s__Paenibacillus_kribbensis--RS_GCF_002240415.1,N_genes,2,0,2,1,inf,1.0
s__Methanosarcina_mazei--RS_GCF_000970205.1,N_genes,3,1,11,8,2.182,1.0
s__Thiobacillus_denitrificans_A--GB_GCA_002343685.1,N_genes,2,2,1,4,4.0,0.5238095238095238
s__Bradyrhizobium_sp000296215--RS_GCF_000296215.2,N_genes,2,0,4,0,,1.0
s__Methanoperedens_nitroreducens--RS_GCF_000685155.1,N_genes,2,0,9,0,,1.0
s__Acidithiobacillus_sp021818125--GB_GCA_021818125.1,N_genes,0,2,1,3,0.0,1.0
s__Clostridium_AM_drakei--RS_GCF_000633595.2,N_genes,3,0,4,0,,1.0
s__Clostridium_sp021837545--GB_GCA_021837545.1,N_genes,0,3,1,7,0.0,1.0
s__Geomonas_paludis--RS_GCF_014193585.1,N_genes,2,0,4,0,,1.0
s__Paenibacillus_tritici--RS_GCF_013204885.1,N_genes,0,2,4,0,0.0,0.06666666666666667
s__Bradyrhizobium_valentinum--RS_GCF_001440405.1,N_genes,2,0,4,0,,1.0
s__Pelovirga_sp007125165--GB_GCA_007125165.1,N_genes,2,0,3,0,,1.0
s__Bradyrhizobium_sp000472925--RS_GCF_000472925.1,N_genes,2,0,2,0,,1.0
s__Sulfurospirillum_sp002309535--RS_GCF_002309535.1,N_genes,2,1,3,0,0.0,1.0
s__Orenia_marismortui--RS_GCF_000379025.1,N_genes,2,0,2,0,,1.0
s__Dendrosporobacter_quercicolus--RS_GCF_900104455.1,N_genes,8,0,2,0,,1.0
s__Acidulodesulfobacterium_sp021798015--GB_GCA_021798015.1,N_genes,1,1,0,5,inf,0.2857142857142857
s__Azospirillum_doebereinerae--RS_GCF_003989665.1,N_genes,2,0,2,0,,1.0
s__Syntrophotalea_acetylenica--RS_GCF_001888165.1,N_genes,2,0,2,0,,1.0
s__Acidulodesulfobacterium_ferriphilum--GB_GCA_004195035.1,N_genes,2,0,0,4,inf,0.06666666666666667
s__Acidiferrobacter_sp021819245--GB_GCA_021819245.1,N_genes,0,2,1,1,0.0,1.0
s__JAJXUF01_sp021783175--GB_GCA_021783175.1,N_genes,0,2,3,5,0.0,1.0
s__Marinobacterium_sp000705555--RS_GCF_000705555.1,N_genes,1,2,2,1,0.25,1.0
s__JADGDA01_sp015228695--GB_GCA_015228695.1,N_genes,2,0,4,0,,1.0
s__JAJZIM01_sp021810565--GB_GCA_021810565.1,N_genes,2,0,2,0,,1.0
s__Acidulodesulfobacterium_sp023381755--GB_GCA_023381755.1,N_genes,0,2,0,4,,1.0
